"AppName","Version","Publisher","Type"
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"5319275A.WhatsAppDesktop","2.2611.102.0","CN=24803D75-212C-471A-BC57-9EF86AB91435","Store"
"59052ChromeLisa.qTorrent","1.1.7.0","CN=EE23BF96-DB31-4E71-AA3C-72379023CF7B","Store"
"64360VelerSoftware.DevToys","1.0.14.0","CN=3D87C8C2-C6F4-4875-B258-5FEC13B08F81","Store"
"7EE7776C.LinkedInforWindows","3.0.43.0","CN=DDCCB5DA-E820-43B5-B58C-BEF830E60516","Store"
"7-Zip 24.09 (x64)","24.09","Igor Pavlov","Desktop"
"Adobe Acrobat (64-bit)","26.001.21367","Adobe","Desktop"
"Adobe Refresh Manager","1.8.0","Adobe Systems Incorporated","Desktop"
"Asian Language And Spelling Dictionaries Support For Adobe Acrobat Reader","23.008.20421","Adobe Systems Incorporated","Desktop"
"Assist Central Pro","4.0.80","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"AVerMedia Assist Central","1.2.0.21","AVerMedia TECHNOLOGIES, Inc","Desktop"
"AVerMedia Assist Central Installer","1.2.0.21","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"AVerMedia Engine","2.0.0.36","AVerMedia TECHNOLOGIES, Inc","Desktop"
"AVerMedia RECentral 4","4.7.110.1","AVerMedia TECHNOLOGIES, Inc","Desktop"
"AVerMedia RECentral 4 Installer","4.7.110.1","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"AVerMedia StreamEngine 2 Installer","2.0.0.36","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"AVerMedia Streaming Center","1.7.4.1","AVerMedia TECHNOLOGIES, Inc","Desktop"
"AVerMedia Streaming Center","1.7.4.1","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"AVerMedia Streaming Center Driver 2.0.64.3","2.0.64.3","AVerMedia TECHNOLOGIES, Inc.","Desktop"
"BrowserOS","137.0.7218.69","BrowserOS Software Inc","Desktop"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Clipchamp.Clipchamp","4.5.10420.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4","Store"
"Dolby Audio X2 Windows API SDK","0.8.8.90","Dolby Laboratories, Inc.","Desktop"
"Dolby Audio X2 Windows APP","0.8.8.76","Dolby Laboratories, Inc.","Desktop"
"E046963F.LenovoCompanion","10.2511.10.0","CN=8F32EFB2-B494-4AEC-A27C-4B0736252363","Store"
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.19041.4239","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Store"
"Git","2.46.0","The Git Development Community","Desktop"
